"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-07-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"11","인천광역시 계양구 효성동","21-11","0021","0011","현대1","71.1750","202507","29","24,200","-","4","개인","개인","1991","길마로 70","-","중개거래","인천 계양구","-"
"12","인천광역시 서구 가좌동","214","0214","0000","풍림","84.7650","202507","29","32,000","-","7","개인","개인","1996","원적로47번길 6","-","중개거래","인천 서구","-"
"13","인천광역시 서구 청라동","83-1","0083","0001","청라국제업무단지센텀대광로제비앙","82.8228","202507","29","63,500","-","20","개인","개인","2018","비즈니스로 166","-","중개거래","인천 서구","-"
"14","인천광역시 부평구 부개동","512","0512","0000","부개역푸르지오","131.2040","202507","29","70,500","-","13","개인","개인","2010","부일로 69","-","중개거래","인천 부평구","-"
"15","인천광역시 강화군 강화읍 갑곳리","423","0423","0000","유성1","52.3800","202507","29","7,500","-","3","개인","개인","1990","강화대로248번길 16-2","-","직거래","-","-"
"16","인천광역시 서구 마전동","1125-6","1125","0006","마전4차풍림아이원","84.3250","202507","29","23,300","-","9","개인","개인","2007","마전로5번길 13","-","중개거래","인천 서구","-"
"17","인천광역시 계양구 계산동","18-4","0018","0004","팬더2","40.7600","202507","29","14,300","-","4","개인","개인","1989","경명대로1142번길 15","-","중개거래","인천 계양구","-"
"18","인천광역시 남동구 구월동","258","0258","0000","팬더","84.9200","202507","29","28,000","-","8","개인","개인","1991","인주대로662번길 32","-","중개거래","인천 남동구","-"
"19","인천광역시 남동구 구월동","1508","1508","0000","구월유승한내들퍼스티지","84.3455","202507","29","58,200","-","20","개인","개인","2016","선수촌로 75","-","중개거래","인천 남동구","-"
"20","인천광역시 미추홀구 용현동","572-3","0572","0003","용현동아","84.5600","202507","29","16,000","-","4","개인","개인","1990","능해길 32","-","직거래","-","-"
"21","인천광역시 미추홀구 숭의동","78-9","0078","0009","숭의동아르떼노블","15.4310","202507","29","5,300","-","15","기타","개인","2014","경인로 99","-","직거래","-","-"
"22","인천광역시 남동구 서창동","702","0702","0000","호반베르디움","84.7403","202507","29","51,200","-","4","개인","개인","2017","서창남순환로 200","-","중개거래","인천 남동구","-"
"23","인천광역시 남동구 서창동","676","0676","0000","더포레스트","59.9300","202507","29","34,000","-","10","개인","개인","2017","서창남순환로 140","-","중개거래","인천 남동구","-"
"24","인천광역시 미추홀구 숭의동","78-9","0078","0009","숭의동아르떼노블","15.4310","202507","29","5,200","-","6","기타","개인","2014","경인로 99","-","직거래","-","-"
"25","인천광역시 동구 송림동","343","0343","0000","동산휴먼시아2단지","59.9800","202507","29","26,500","-","8","개인","개인","2010","새천년로38번길 11","-","중개거래","인천 동구","-"
"26","인천광역시 남동구 구월동","1513","1513","0000","구월아시아드선수촌5단지","74.9400","202507","29","47,300","-","8","개인","개인","2015","선수촌로 56","-","중개거래","인천 남동구","-"
"27","인천광역시 부평구 부평동","64-20","0064","0020","대림1차","76.3880","202507","29","31,800","-","14","개인","개인","1989","부영로 196","-","중개거래","인천 부평구","-"
"28","인천광역시 남동구 구월동","1554","1554","0000","구월아시아드선수촌8단지","84.9700","202507","29","49,000","-","6","개인","개인","2015","선수촌로 8","-","중개거래","인천 남동구","-"
"29","인천광역시 부평구 부평동","962","0962","0000","부평SKVIEW해모로","84.9825","202507","29","67,500","-","3","개인","개인","2023","동수천로 71","-","중개거래","인천 부평구","-"
"30","인천광역시 남동구 간석동","193-2","0193","0002","희망(1동,2동)","65.5250","202507","29","19,000","-","4","개인","개인","1983","석촌로 8","-","중개거래","인천 남동구","-"
"31","인천광역시 연수구 연수동","634","0634","0000","우성2","40.5000","202507","28","21,000","-","21","개인","개인","1995","원인재로 180","-","중개거래","인천 연수구","-"
"32","인천광역시 미추홀구 주안동","50-1","0050","0001","이츠","59.5260","202507","28","18,500","-","6","개인","개인","2015","경원대로897번길 40","-","중개거래","인천 미추홀구","-"
"33","인천광역시 미추홀구 주안동","26-47","0026","0047","민들레","45.1800","202507","28","12,000","-","2","개인","개인","1983","염창로 11","-","직거래","-","-"
"34","인천광역시 미추홀구 용현동","664","0664","0000","인천 SK Sky VIEW","59.9934","202507","28","45,700","-","27","개인","개인","2016","용정공원로 33","-","중개거래","인천 미추홀구","-"
"35","인천광역시 미추홀구 용현동","647","0647","0000","용현2단지금호타운","71.2500","202507","28","31,800","-","16","개인","개인","1999","매소홀로 68","-","중개거래","인천 미추홀구","-"
"36","인천광역시 부평구 부평동","982","0982","0000","중앙하이츠프리미어부평","74.8119","202507","28","49,500","-","17","개인","개인","2023","안남로15번길 24","-","중개거래","인천 부평구, 인천 연수구","-"
"37","인천광역시 남동구 남촌동","571-1","0571","0001","청호","51.3900","202507","28","9,800","-","6","개인","개인","1991","남촌로93번길 44","-","중개거래","서울 동작구","-"
"38","인천광역시 연수구 옥련동","631","0631","0000","원흥","59.8600","202507","28","18,800","-","17","개인","개인","1994","독배로 52","-","중개거래","인천 연수구","-"
"39","인천광역시 미추홀구 용현동","129-1","0129","0001","명성에이스빌","59.8500","202507","28","7,000","-","2","개인","개인","2003","인주대로197번길 7","-","중개거래","인천 미추홀구","-"
"40","인천광역시 남동구 만수동","29","0029","0000","만수주공1단지","39.7200","202507","28","18,500","-","2","개인","개인","1986","만수로 14-25","-","직거래","-","-"
"41","인천광역시 남동구 간석동","917-2","0917","0002","두진","76.6800","202507","28","18,800","-","2","개인","개인","1994","호구포로899번길 8","20250728","중개거래","인천 남동구, 인천 미추홀구","-"
"42","인천광역시 남동구 간석동","917-2","0917","0002","두진","76.6800","202507","28","18,800","-","2","개인","개인","1994","호구포로899번길 8","-","중개거래","인천 남동구, 인천 미추홀구","-"
"43","인천광역시 중구 중산동","1871-3","1871","0003","하늘도시우미린2단지","84.7989","202507","28","36,500","-","10","개인","개인","2012","하늘달빛로 113","-","중개거래","인천 중구","-"
"44","인천광역시 동구 송림동","348","0348","0000","동인천역파크푸르지오","70.1725","202507","28","50,000","-","27","개인","개인","2023","화도진로 16","-","중개거래","인천 동구","-"
"45","인천광역시 남동구 논현동","755-1","0755","0001","에코메트로5","84.9860","202507","28","56,000","-","18","개인","개인","2010","소래역남로 39","-","중개거래","인천 남동구","-"
"46","인천광역시 동구 송림동","347","0347","0000","엘에이치브리즈힐","74.9400","202507","28","35,300","-","7","개인","개인","2021","송림로162번길 9","-","중개거래","인천 동구","-"
"47","인천광역시 연수구 연수동","582-2","0582","0002","승기마을,연수1차시영","26.8200","202507","28","11,000","-","11","개인","개인","1992","원인재로 212","-","중개거래","인천 연수구","-"
"48","인천광역시 서구 당하동","1314","1314","0000","검단신안인스빌어반퍼스트","84.7322","202507","28","54,000","-","5","개인","개인","2022","이음1로 173","-","중개거래","인천 서구","-"
"49","인천광역시 계양구 계산동","20","0020","0000","주공","49.9400","202507","28","26,000","-","4","개인","개인","1990","경명대로1142번길 3","-","중개거래","인천 계양구","-"
"50","인천광역시 계양구 효성동","623-16","0623","0016","새사미","48.9300","202507","28","12,000","-","2","개인","개인","1985","봉오대로 441","-","직거래","-","-"
"51","인천광역시 부평구 산곡동","311-126","0311","0126","현대2차","72.5400","202507","28","35,500","-","8","개인","개인","1989","안남로 91","-","중개거래","인천 부평구","-"
"52","인천광역시 부평구 산곡동","311-126","0311","0126","현대2차","72.5400","202507","28","35,500","-","8","개인","개인","1989","안남로 91","20250728","중개거래","인천 부평구","-"
"53","인천광역시 부평구 산곡동","222","0222","0000","한신휴","84.9790","202507","28","36,000","-","1","개인","개인","2003","마장로220번길 13","-","중개거래","인천 부평구","-"
"54","인천광역시 계양구 작전동","915-1","0915","0001","까치마을태화","59.9100","202507","28","26,000","-","9","개인","개인","1997","효서로 393","-","중개거래","인천 계양구","-"
"55","인천광역시 서구 가정동","가-","0000","0000","신영루원지웰시티푸르지오","84.8329","202507","28","60,000","-","28","개인","개인","2022","가정로 406","-","직거래","-","-"
"56","인천광역시 서구 가정동","597-1","0597","0001","루원더퍼스트","84.9400","202507","28","54,000","-","2","개인","개인","2019","봉오재2로 13","-","중개거래","인천 서구","-"
"57","인천광역시 계양구 병방동","432-5","0432","0005","학마을서해","26.0100","202507","28","11,450","-","11","개인","개인","1997","장제로 878","-","중개거래","인천 계양구","-"
"58","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","72.9227","202507","28","62,500","-","17","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"59","인천광역시 계양구 병방동","381","0381","0000","아주","41.5500","202507","28","12,500","-","1","개인","개인","1989","장제로927번길 15","-","중개거래","인천 계양구, 인천 서구","-"
"60","인천광역시 부평구 삼산동","453-1","0453","0001","삼산타운7단지","84.0700","202507","28","43,800","-","20","개인","개인","2004","체육관로 27","-","직거래","-","-"
"61","인천광역시 서구 불로동","179","0179","0000","동부","59.9400","202507","28","21,400","-","17","개인","개인","1999","검단로 851","-","중개거래","인천 서구","-"
"62","인천광역시 서구 경서동","1032","1032","0000","북청라하우스토리","59.9357","202507","28","36,700","-","15","개인","개인","2022","경서로31번길 15","-","중개거래","인천 서구","-"
"63","인천광역시 서구 당하동","1318-8","1318","0008","검단신도시모아미래도엘리트파크","84.6561","202507","28","55,900","-","10","개인","개인","2022","서로3로 50","-","중개거래","인천 서구","-"
"64","인천광역시 부평구 산곡동","534","0534","0000","부평두산위브더파크","49.9486","202507","27","34,900","-","7","개인","개인","2022","마곡로 14","20250728","중개거래","인천 부평구","-"
"65","인천광역시 부평구 산곡동","534","0534","0000","부평두산위브더파크","49.9486","202507","27","34,900","-","7","개인","개인","2022","마곡로 14","20250727","중개거래","인천 부평구","-"
"66","인천광역시 서구 왕길동","295-1","0295","0001","유승","59.7500","202507","27","19,000","-","9","개인","개인","2000","단봉로 12","-","중개거래","인천 서구","-"
"67","인천광역시 부평구 산곡동","534","0534","0000","부평두산위브더파크","49.9486","202507","27","34,900","-","7","개인","개인","2022","마곡로 14","-","중개거래","인천 부평구","-"
"68","인천광역시 연수구 송도동","319-1","0319","0001","e편한세상송도","70.5618","202507","27","56,000","-","16","개인","개인","2018","랜드마크로 113","-","중개거래","인천 연수구","-"
"69","인천광역시 연수구 송도동","149","0149","0000","롯데캐슬캠퍼스타운","84.5780","202507","27","82,000","-","41","개인","개인","2016","송도과학로27번길 55","-","중개거래","인천 연수구","-"
"70","인천광역시 중구 신흥동3가","7-235","0007","0235","신흥아이파크","114.9400","202507","27","30,000","-","20","개인","개인","2002","인항로 30","-","중개거래","인천 중구","-"
"71","인천광역시 동구 송림동","347","0347","0000","엘에이치브리즈힐","59.9800","202507","27","31,400","-","29","개인","개인","2021","송림로162번길 9","-","중개거래","인천 동구","-"
"72","인천광역시 동구 송림동","341","0341","0000","송림휴먼시아1단지","59.9900","202507","26","22,800","-","5","개인","개인","2009","송향로 31","-","중개거래","인천 동구","-"
"73","인천광역시 남동구 만수동","1113","1113","0000","주공11단지","84.9000","202507","26","31,000","-","12","개인","개인","1997","만수서로105번길 40-18","-","중개거래","인천 남동구","-"
"74","인천광역시 남동구 만수동","1037","1037","0000","현대","101.9400","202507","26","34,000","-","11","개인","개인","1993","장승남로 82","20250726","중개거래","인천 남동구","-"
"75","인천광역시 미추홀구 주안동","1628","1628","0000","주안역센트레빌","84.8145","202507","26","57,000","-","23","개인","개인","2021","염전로 414","-","중개거래","인천 미추홀구","-"
"76","인천광역시 남동구 구월동","342-1","0342","0001","신세계","85.4400","202507","26","24,800","-","13","개인","개인","1980","호구포로 858","-","중개거래","인천 남동구","-"
"77","인천광역시 남동구 구월동","24","0024","0000","롯데캐슬골드","84.8114","202507","26","56,000","-","10","개인","개인","2007","호구포로 803","-","중개거래","인천 남동구","-"
"78","인천광역시 남동구 논현동","810","0810","0000","논현푸르지오 더퍼스트","61.9875","202507","26","39,700","-","8","개인","개인","2019","포구로 40","-","중개거래","인천 남동구","-"
"79","인천광역시 남동구 논현동","764-4","0764","0004","논현유승한내들","56.1574","202507","26","34,200","-","17","개인","개인","2018","에코중앙로66번길 6","-","중개거래","인천 남동구","-"
"80","인천광역시 남동구 논현동","755-1","0755","0001","에코메트로5","84.9470","202507","26","60,000","-","28","개인","개인","2010","소래역남로 39","-","중개거래","인천 남동구, 인천 미추홀구","-"
"81","인천광역시 남동구 논현동","757-1","0757","0001","에코메트로7","84.9860","202507","26","57,500","-","13","개인","개인","2010","에코중앙로 163","-","중개거래","인천 남동구","-"
"82","인천광역시 남동구 논현동","764-4","0764","0004","논현유승한내들","56.8743","202507","26","34,000","-","37","개인","개인","2018","에코중앙로66번길 6","-","중개거래","인천 남동구","-"
"83","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","46.2300","202507","26","23,500","-","15","개인","개인","2005","이규보로61번길 21","20250728","중개거래","인천 부평구","-"
"84","인천광역시 중구 중산동","1878-1","1878","0001","인천영종한양수자인","59.2185","202507","26","28,500","-","5","개인","개인","2012","은하수로 377","-","중개거래","인천 중구","-"
"85","인천광역시 중구 중산동","1879-1","1879","0001","영종하늘도시KCC스위첸","60.5410","202507","26","33,000","-","2","개인","개인","2019","은하수로 380","-","중개거래","인천 중구","-"
"86","인천광역시 중구 중산동","1881-2","1881","0002","스카이시티자이","91.8393","202507","26","48,000","-","1","개인","개인","2018","하늘별빛로 111","-","중개거래","인천 중구","-"
"87","인천광역시 미추홀구 학익동","719","0719","0000","동아풍림","123.5100","202507","26","33,500","-","2","개인","개인","1999","소성로 120","-","중개거래","인천 미추홀구","-"
"88","인천광역시 미추홀구 학익동","703-2","0703","0002","태산","59.0966","202507","26","18,000","-","19","개인","개인","1998","한나루로341번길 40","20250730","중개거래","인천 미추홀구","-"
"89","인천광역시 미추홀구 학익동","745","0745","0000","미추홀트루엘파크","59.9860","202507","26","34,700","-","18","개인","개인","2022","학익소로9번길 24","-","중개거래","인천 미추홀구","-"
"90","인천광역시 미추홀구 학익동","719","0719","0000","동아풍림","84.3600","202507","26","31,750","-","19","개인","개인","1999","소성로 120","-","중개거래","인천 미추홀구","-"
"91","인천광역시 미추홀구 학익동","732-3","0732","0003","엑슬루타워","93.0670","202507","26","47,500","-","34","개인","개인","2010","매소홀로309번길 32","-","중개거래","인천 미추홀구","-"
"92","인천광역시 연수구 송도동","161-3","0161","0003","송도캐슬&해모로","84.4433","202507","26","60,000","-","7","개인","개인","2013","송도과학로51번길 136","-","중개거래","인천 연수구","-"
"93","인천광역시 남동구 간석동","944","0944","0000","인천시청역힐스테이트","59.9700","202507","26","50,000","-","17","개인","개인","2024","구월로37번길 10","-","중개거래","인천 미추홀구","-"
"94","인천광역시 동구 송현동","154","0154","0000","솔빛마을주공","46.9200","202507","26","18,350","-","14","개인","개인","2003","송현로 50","-","중개거래","인천 동구","-"
"95","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","46.2300","202507","26","23,500","-","15","개인","개인","2005","이규보로61번길 21","20250726","중개거래","인천 부평구","-"
"96","인천광역시 부평구 십정동","608-4","0608","0004","십정뜨란채1단지","46.2300","202507","26","23,500","-","15","개인","개인","2005","이규보로61번길 21","-","중개거래","인천 부평구","-"
"97","인천광역시 미추홀구 용현동","627-78","0627","0078","한양1차","57.5100","202507","26","17,800","-","8","개인","개인","1990","낙섬중로 20","-","중개거래","인천 미추홀구","-"
"98","인천광역시 미추홀구 용현동","647","0647","0000","용현2단지금호타운","71.2500","202507","26","30,000","-","11","개인","개인","1999","매소홀로 68","-","중개거래","인천 미추홀구","-"
"99","인천광역시 남동구 만수동","5-426","0005","0426","신동아","74.9200","202507","26","21,000","-","13","개인","개인","1990","만수로111번길 38","-","중개거래","인천 남동구","-"
"100","인천광역시 남동구 만수동","1037","1037","0000","현대","101.9400","202507","26","34,000","-","11","개인","개인","1993","장승남로 82","-","중개거래","인천 남동구","-"
"101","인천광역시 부평구 청천동","453","0453","0000","청천우민늘푸른아파트","59.4568","202507","26","31,000","-","9","개인","개인","2020","평천로141번길 11","-","중개거래","인천 부평구","-"
"102","인천광역시 부평구 산곡동","142-3","0142","0003","경남1차","84.4300","202507","26","31,000","-","10","개인","개인","1990","안남로222번길 27","-","중개거래","인천 부평구","-"
"103","인천광역시 서구 청라동","139-1","0139","0001","청라한화꿈에그린","100.5108","202507","26","75,700","-","15","개인","개인","2012","크리스탈로 148","-","중개거래","인천 서구","-"
"104","인천광역시 서구 당하동","1031","1031","0000","원당풍림아이원","74.0892","202507","26","29,000","-","8","개인","개인","2004","원당대로840번길 21","-","중개거래","인천 서구","-"
"105","인천광역시 서구 불로동","312-2","0312","0002","퀸스타운(신명)","134.9700","202507","26","29,700","-","5","개인","개인","1998","검단로 834","-","중개거래","인천 서구","-"
"106","인천광역시 서구 당하동","1027-15","1027","0015","신안실크벨리","84.9922","202507","26","32,900","-","7","개인","개인","2004","원당대로840번길 22","-","중개거래","인천 서구","-"
"107","인천광역시 서구 당하동","1316-2","1316","0002","검단신도시대성베르힐라프리미어","84.4003","202507","26","50,000","-","2","개인","개인","2022","이음1로 154","-","중개거래","인천 서구","-"
"108","인천광역시 부평구 삼산동","553","0553","0000","브라운스톤부평","59.9900","202507","26","48,800","-","18","개인","개인","2023","후정로 8","-","중개거래","인천 부평구","-"
"109","인천광역시 부평구 삼산동","553","0553","0000","브라운스톤부평","59.9900","202507","26","48,800","-","18","개인","개인","2023","후정로 8","20250728","중개거래","인천 부평구","-"
"110","인천광역시 서구 원당동","823-1","0823","0001","원당LG자이(원당지구69BL1L)","84.9511","202507","26","36,000","-","6","개인","개인","2004","원당대로839번길 34","-","중개거래","인천 서구","-"
"111","인천광역시 서구 원당동","1020-1","1020","0001","검단신도시파라곤보타닉파크","84.9947","202507","26","59,300","-","23","개인","개인","2022","서로3로 225","-","중개거래","인천 서구","-"
"112","인천광역시 서구 원당동","1022","1022","0000","호반써밋1차","84.8917","202507","26","70,100","-","23","개인","개인","2021","이음5로 15","-","중개거래","인천 서구","-"
"113","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202507","26","36,600","-","19","개인","개인","1998","부개로 11","-","중개거래","인천 부평구","-"
"114","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9800","202507","26","29,000","-","13","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"115","인천광역시 부평구 부개동","520","0520","0000","부평코오롱하늘채","59.8430","202507","26","51,700","-","19","개인","개인","2020","동수천로 117","-","중개거래","인천 부평구","-"
"116","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9300","202507","26","29,500","-","5","개인","개인","1996","길주남로 144","-","중개거래","인천 부평구","-"
"117","인천광역시 서구 금곡동","736-1","0736","0001","검단우방아이유쉘","59.8184","202507","26","32,000","-","2","개인","개인","2017","완정로 208","-","중개거래","인천 서구","-"
"118","인천광역시 서구 가정동","597-2","0597","0002","엘에이치웨스턴블루힐","59.9800","202507","26","43,300","-","18","개인","개인","2015","봉오재2로 37","-","중개거래","인천 서구","-"
"119","인천광역시 서구 가정동","563-1","0563","0001","대진2","55.6300","202507","26","12,480","-","5","개인","개인","1990","서달로193번길 4","-","중개거래","인천 남동구","-"
"120","인천광역시 서구 당하동","1027-15","1027","0015","신안실크벨리","59.9639","202507","26","27,000","-","15","개인","개인","2004","원당대로840번길 22","-","중개거래","인천 서구","-"
"121","인천광역시 서구 청라동","116-6","0116","0006","호반베르디움(116-6)","84.9925","202507","26","63,500","-","7","개인","개인","2011","청라라임로 109","-","중개거래","인천 서구","-"
"122","인천광역시 서구 신현동","304-1","0304","0001","루원시티 대성베르힐","84.9757","202507","26","55,300","-","2","개인","개인","2017","봉오재1로 15","-","중개거래","인천 서구","-"
"123","인천광역시 계양구 작전동","953","0953","0000","힐스테이트자이계양","59.7900","202507","26","60,000","-","28","개인","개인","2024","봉오대로651번길 9","-","중개거래","인천 계양구","-"
"124","인천광역시 서구 청라동","130-4","0130","0004","호반베르디움앤영무예다음","59.8600","202507","26","51,500","-","20","개인","개인","2011","청라에메랄드로 134","-","중개거래","인천 서구","-"
"125","인천광역시 서구 청라동","103-16","0103","0016","청라SKVIEW","101.6409","202507","26","69,000","-","24","개인","개인","2011","솔빛로 93","-","중개거래","인천 서구","-"
"126","인천광역시 서구 왕길동","692-1","0692","0001","검단자이1단지","84.7430","202507","26","35,000","-","10","개인","개인","2010","버들로 27","-","중개거래","인천 서구","-"
"127","인천광역시 서구 당하동","1314-2","1314","0002","호반써밋프라임뷰","84.2832","202507","26","58,900","-","8","개인","개인","2022","이음2로 70","-","중개거래","인천 서구","-"
"128","인천광역시 서구 당하동","1027-15","1027","0015","신안실크벨리","59.9639","202507","26","27,000","-","15","개인","개인","2004","원당대로840번길 22","20250726","중개거래","인천 서구","-"
"129","인천광역시 서구 심곡동","336-1","0336","0001","광명","84.7800","202507","25","27,700","-","1","개인","개인","1997","심곡로 11","-","중개거래","인천 서구, 인천 연수구","-"
"130","인천광역시 부평구 산곡동","524","0524","0000","부평신일해피트리더루츠","84.9030","202507","25","69,200","-","18","개인","개인","2022","산곡로 31","20250728","중개거래","인천 부평구","-"
"131","인천광역시 계양구 박촌동","317","0317","0000","계양2차하우스토리","84.9960","202507","25","43,000","-","4","개인","개인","2010","장제로995번길 18","-","중개거래","인천 계양구","-"
"132","인천광역시 서구 오류동","1719-1","1719","0001","오류풍림아이원","84.8400","202507","25","27,500","-","13","개인","개인","2011","봉화로 78","-","중개거래","인천 서구","-"
"133","인천광역시 서구 청라동","130-4","0130","0004","호반베르디움앤영무예다음","59.8600","202507","25","49,800","-","18","개인","개인","2011","청라에메랄드로 134","-","중개거래","인천 서구","-"
"134","인천광역시 부평구 산곡동","222","0222","0000","한신휴","84.9790","202507","25","40,000","105","22","개인","개인","2003","마장로220번길 13","-","중개거래","인천 부평구","25.07.25"
"135","인천광역시 부평구 갈산동","159","0159","0000","대우","59.9300","202507","25","35,500","-","20","개인","개인","2001","평천로305번길 15","-","중개거래","인천 부평구","-"
"136","인천광역시 서구 가좌동","627","0627","0000","가재울역트루엘에코시티","59.9100","202507","25","41,000","-","4","개인","개인","2024","열우물로240번길 20","-","중개거래","인천 서구","-"
"137","인천광역시 서구 마전동","916","0916","0000","목화","57.4950","202507","25","14,000","-","2","법인","법인","1990","완정로178번길 31","-","중개거래","인천 서구","-"
"138","인천광역시 서구 원당동","1018","1018","0000","검단신도시푸르지오더베뉴","84.9300","202507","25","68,000","-","15","개인","개인","2021","이음6로 33","-","중개거래","인천 서구","-"
"139","인천광역시 서구 불로동","178","0178","0000","불노동한일타운아파트","59.7200","202507","25","20,800","-","14","개인","개인","2008","검단로 841","-","중개거래","인천 서구","-"
"140","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","59.9300","202507","25","29,500","-","5","개인","개인","1996","길주남로 144","20250728","중개거래","인천 부평구","-"
"141","인천광역시 부평구 삼산동","454-13","0454","0013","삼산타운6단지","84.9600","202507","25","67,500","-","9","개인","개인","2004","체육관로 57","-","중개거래","인천 부평구","-"
"142","인천광역시 부평구 삼산동","454-4","0454","0004","서해그랑블5단지","118.1342","202507","25","49,000","-","8","개인","개인","2004","굴포로 158","-","중개거래","인천 연수구","-"
"143","인천광역시 계양구 효성동","675","0675","0000","금호어울림","59.9600","202507","25","26,000","-","7","개인","개인","2005","아나지로198번길 11","-","중개거래","인천 계양구","-"
"144","인천광역시 부평구 산곡동","524","0524","0000","부평신일해피트리더루츠","84.9030","202507","25","69,200","-","18","개인","개인","2022","산곡로 31","-","중개거래","인천 부평구","-"
"145","인천광역시 연수구 송도동","192-8","0192","0008","베르디움더퍼스트","63.9487","202507","25","56,500","-","1","개인","개인","2017","송도문화로84번길 84","-","중개거래","인천 연수구","-"
"146","인천광역시 연수구 송도동","190-4","0190","0004","송도더샵센트럴시티","84.9700","202507","25","80,000","-","18","개인","개인","2018","송도국제대로 261","-","중개거래","인천 연수구","-"
"147","인천광역시 동구 송현동","66-24","0066","0024","삼두2","54.7200","202507","25","16,900","-","11","개인","개인","1987","화수로 21","-","중개거래","인천 동구, 인천 미추홀구","-"
